Баллоны и газы {1};;;
ГАЗЫ {2};;;
КИСЛОРОД  ГАЗ ТЕХНИЧЕСКИЙ СОРТ  1 ГОСТ 6331-78 (99,7%) {3};;;
 Редуктор углекислотный УР-6-6 ДОКА ; 1 200,00р. ; 1 200,00р. ;0%
 Редуктор углекислотный УР6-6 REDIUS ; 1 800,00р. ; 1 800,00р. ;0%
 Редуктор углекислотный УР-6-6М с поверкой СВАРОГ ; 1 300,00р. ; 1 300,00р. ;0%
Аргоновые {2};;;
 Регулятор аргоновый АР-10-КР1-М REDIUS ; 2 500,00р. ; 2 500,00р. ;0%
Азотные {2};;;
 Регулятор азотный А-30-КР1 REDIUS ; 2 800,00р. ; 2 800,00р. ;0%
 Редуктор азотный БАЗО-50-4 REDIUS ; 3 600,00р. ; 3 600,00р. ;0%
Гелиевые {2};;;
 Редуктор гелиевый БГО-5-4 REDIUS ; 3 390,00р. ; 3 390,00р. ;0%
 Редуктор гелиевый БГО-50-4-ВШ ; 2 700,00р. ; 2 700,00р. ;0%
 Редуктор гелиевый БГО-5-М REDIUS ; 2 500,00р. ; 2 500,00р. ;0%
Ацетиленовые {3};;;
 Редуктор ацетиленовый БАО-5-1, 5 REDIUS ; 2 010,00р. ; 2 010,00р. ;0%
Водородные {3};;;
 Редуктор водородный БВО-80-4 ТУ ; 3 580,00р. ; 3 580,00р. ;0%
Универсальные {3};;;
 Регулятор универсальный У-30/АР-40-КР1 (манометр+расходомер) REDIUS ; 3 300,00р. ; 3 300,00р. ;0%
 Регулятор универсальный У-30/АР-40-КР1-м-Р1 REDIUS ; 2 650,00р. ; 2 650,00р. ;0%
 Регулятор универсальный У-30/АР-40-Р СВАРОГ ; 3 000,00р. ; 3 000,00р. ;0%
 Регулятор универсальный У-30/АР-40-КР1П 36В (с подогревателем) ; 4 300,00р. ; 4 300,00р. ;0%
 Регулятор универсальный У-30/АР-40-01-1Р/ ПТК ; 2 200,00р. ; 2 200,00р. ;0%
 Регулятор универсальный У-30/АР-40-Р FOOB ; 2 100,00р. ; 2 100,00р. ;0%
Манометры {2};;;
 Манометр пропановый 0,6 Мпа ; 380,00р. ; 380,00р. ;0%
 Манометр кислородный 2,5 Мпа ; 380,00р. ; 380,00р. ;0%
 Манометр кислородный 25 Мпа ; 380,00р. ; 380,00р. ;0%
 Манометр кислородный ТМ-210Р 25 Мпа ПОВЕРЕННЫЙ ; 380,00р. ; 380,00р. ;0%
 Манометр углекислотный 1 Мпа ; 380,00р. ; 380,00р. ;0%
 Манометр углекислотный 16 Мпа ; 380,00р. ; 380,00р. ;0%
 Манометр ацетиленовый 0,4 Мпа ; 380,00р. ; 380,00р. ;0%
Подогреватели газа {2};;;
 *Подогреватель углекислого газа ПЭГ-1 36V (ПТК) ; 1 500,00р. ; 1 500,00р. ;0%
 Подогреватель углекислого газа ПЭГ-1 220V (ПТК) ; 1 500,00р. ; 1 500,00р. ;0%
Горелки Резаки и комплектующие к ним {1};;;
Горелки {2};;;
 Горелка газовоздушная ГВ-100-Р Redius ; 1 250,00р. ; 1 250,00р. ;0%
 Горелка газовоздушная ГВ-100, Redius ; 1 105,00р. ; 1 105,00р. ;0%
 Горелка газовоздушная ГВ-100, СВАРОГ ; 1 350,00р. ; 1 350,00р. ;0%
 Горелка газовоздушная ГВ-111 Redius ; 1 200,00р. ; 1 200,00р. ;0%
 Горелка газовоздушная ГВ-111 ДОКА ; 1 650,00р. ; 1 650,00р. ;0%
 Горелка газовоздушная ГВ-111 СВАРОГ ; 1 300,00р. ; 1 300,00р. ;0%
 Горелка газовоздушная ГВ-111-Р СВАРОГ ; 1 400,00р. ; 1 400,00р. ;0%
 Горелка кровельная ГВ-111-Р Redius ; 1 400,00р. ; 1 400,00р. ;0%
 Горелка кровельная ГВ-131-Р (Ф стакана=50 мм, L=1032 мм рычаг, 2-х факельная, Redius) ; 2 150,00р. ; 2 150,00р. ;0%
 Горелка пропановая ГЗУ-4-45 9/6 СВАРОГ ; 2 900,00р. ; 2 900,00р. ;0%
 Горелка пропановая ГЗУ-3-23 Сварог ; 2 600,00р. ; 2 600,00р. ;0%
 Горелка пропановая ГЗУ-3-23 9/6 нак.2,3 Redius ; 2 220,00р. ; 2 220,00р. ;0%
 Горелка ацетиленовая Г2-23 6/9 (нак.2,3), Redius ; 2 500,00р. ; 2 500,00р. ;0%
Резаки {2};;;
 Резак пропановый РЗП-02М Redius ; 3 200,00р. ; 3 200,00р. ;0%
 Резак пропановый РЗП-02М СВАРОГ ; 3 100,00р. ; 3 100,00р. ;0%
 Резак пропановый РЗП-03МУ Redius ; 3 970,00р. ; 3 970,00р. ;0%
 Резак пропановый КЕДР Р3П-05 (трехтрубный) ; 3 750,00р. ; 3 750,00р. ;0%
 Резак пропановый Р3П -21-Р Redius ; 3 300,00р. ; 3 300,00р. ;0%
 Резак пропановый Р3П-03Р ПТК ; 2 880,00р. ; 2 880,00р. ;0%
 Резак пропановый Р3П -32-Р-У1 рычажный (800мм), Redius ; 5 490,00р. ; 5 490,00р. ;0%
 Резак пропановый РЗПс (2,3 L=1000) ДЖЕТ ; 3 500,00р. ; 3 500,00р. ;0%
 Резак пропановый РЗПу (2,3 L=1000) ДЖЕТ ; 4 700,00р. ; 4 700,00р. ;0%
 Резак пропановый РЗП-01 (нак.2,3) Джет ; 3 100,00р. ; 3 100,00р. ;0%
Комплектующие {2};;;
Резаки редиус Р3П/Р1П {3};;;
Внутренние мундштуки {4};;;
 Мундштук внутр. к Р1П №3П РЕДИУС ; 145,00р. ; 145,00р. ;0%
 Мундштук внутр. к Р1П №4П РЕДИУС ; 145,00р. ; 145,00р. ;0%
 Мундштук внутр. к Р3П №1 РЕДИУС ; 180,00р. ; 180,00р. ;0%
 Мундштук внутр. к Р3П №2 РЕДИУС ; 180,00р. ; 180,00р. ;0%
 Мундштук внутр. к Р3П №3П РЕДИУС ; 180,00р. ; 180,00р. ;0%
 Мундштук внутр. к Р3П №4П РЕДИУС ; 180,00р. ; 180,00р. ;0%
 Мундштук внутр. к Р3П №5П РЕДИУС ; 180,00р. ; 180,00р. ;0%
 Мундштук внутр. к Р3П №6П РЕДИУС ; 180,00р. ; 180,00р. ;0%
Наружние мундштуки {4};;;
 Мундштук наружный Р1А/1П №1 ; 340,00р. ; 340,00р. ;0%
 Мундштук наружный 1П (Р3П) РЕДИУС ; 380,00р. ; 380,00р. ;0%
 Мундштук наружный 2П (Р3П) РЕДИУС ; 380,00р. ; 380,00р. ;0%
Резаки ДЖЕТ {3};;;
Внутренние мундштуки {4};;;
 Мундштук внутр. к Р3П №1 (РЗП,Р2А) ДЖЕТ ; 240,00р. ; 240,00р. ;0%
 Мундштук внутренний №2 (Р3П, Р2А) ДЖЕТ ; 240,00р. ; 240,00р. ;0%
 Мундштук внутренний №3 (Р3П, Р2А) ДЖЕТ ; 240,00р. ; 240,00р. ;0%
 Мундштук внутренний №4 (Р3П, Р2А) ДЖЕТ ; 240,00р. ; 240,00р. ;0%
Наружние мундштуки {4};;;
 Мундштук нар. к Р3П/Р2А №1 ДЖЕТ ; 380,00р. ; 380,00р. ;0%
 Мундштук нар. к Р3П/Р2А №2 ДЖЕТ ; 380,00р. ; 380,00р. ;0%
Трехтрубные резаки {3};;;
Наружние мундштуки {4};;;
 Мундштук наружный РNM №1 ; 425,00р. ; 425,00р. ;0%
Мундштук наружный РNM №2; 425,00р. ; 425,00р. ;0%
Внутренние мундштуки {4};;;
 Мундштук внутренний Р №1 ; 380,00р. ; 380,00р. ;0%
 Мундштук внутренний Р №2 ; 380,00р. ; 380,00р. ;0%
 Мундштук внутренний Р №3 ; 380,00р. ; 380,00р. ;0%
 Мундштук внутренний Р №4 ; 380,00р. ; 380,00р. ;0%
 Мундштук внутренний Р №5 ; 380,00р. ; 380,00р. ;0%
 Мундштук внутренний Р №6 ; 380,00р. ; 380,00р. ;0%
Наборы {3};;;
 Мундштук газосмесительный к Р3П-32, Р3-300, Р3-345 №3РМ ; 500,00р. ; 500,00р. ;0%
 Мундштук к трехтрубному пропановому резаку №1-PNM в сборе 10-25мм (СВАРОГ) ; 500,00р. ; 500,00р. ;0%
 Мундштук к трехтрубному пропановому резаку №2-PNM в сборе 25-75мм (СВАРОГ) ; 500,00р. ; 500,00р. ;0%
 Набор для чистки мундштуков АТ5115 ; 250,00р. ; 250,00р. ;0%
Наконечники к горелкам {3};;;
 Наконечник Г2, Г3 №0А ; 450,00р. ; 450,00р. ;0%
 Наконечник Г2, Г3 №1А ; 450,00р. ; 450,00р. ;0%
 Наконечник Г2, Г3 №2А ; 450,00р. ; 450,00р. ;0%
 Наконечник Г2, Г3 №3А ; 450,00р. ; 450,00р. ;0%
 Наконечник Г2, Г3 №4А ; 450,00р. ; 450,00р. ;0%
 Наконечник Г2, Г3 №5А ; 450,00р. ; 450,00р. ;0%
TIG/MIG/Плазма {1};;;
TIG {2};;;
Цанги {3};;;
Цанга 1,6 мм к горелке TIG; 110,00р. ; 110,00р. ;0%
Цанга 2,0 мм к горелке TIG; 110,00р. ; 110,00р. ;0%
Цанга 2,4мм к горелке TIG; 110,00р. ; 110,00р. ;0%
Цанга 3,2мм к горелке TIG; 110,00р. ; 110,00р. ;0%
Цанга 4,0мм к горелке TIG; 110,00р. ; 110,00р. ;0%
Сопла {3};;;
Сопло керамическое №8 (12,5); 55,00р. ; 55,00р. ;0%
Сопло керамическое №10 (16); 45,00р. ; 45,00р. ;0%
Сопло керамическое №4 (WB-17-18-26); 45,00р. ; 45,00р. ;0%
Сопло керамическое №5 (17-18-26); 45,00р. ; 45,00р. ;0%
Сопло керамическое №6 (17-18-26); 55,00р. ; 55,00р. ;0%
Сопло керамическое №7 (WР-17-18-26); 55,00р. ; 55,00р. ;0%
Сопло керамическое №12 (19,5); 45,00р. ; 45,00р. ;0%
Держатель цанги {3};;;
Держатель цанги д. 1,6; 105,00р. ; 105,00р. ;0%
Держатель цанги д.2,4; 105,00р. ; 105,00р. ;0%
Держатель цанги д.2.0; 105,00р. ; 105,00р. ;0%
Держатель цанги д. 3,2; 105,00р. ; 105,00р. ;0%
Держатель цанги д. 4,0 Г; 105,00р. ; 105,00р. ;0%
Горелки {3};;;
Горелка TIG WP-17FXV 4м, вентиль, гибкая; 4 500,00р. ; 4 500,00р. ;0%
Колпачки {4};;;
Колпачок длинный SR17/SR18/SR26; 50,00р. ; 50,00р. ;0%
MIG {2};;;
Горелки {3};;;
Горелка MIG MP-15AK 3м евро; 3 500,00р. ; 3 500,00р. ;0%
Горелка MIG MP-24KD 3м евро; 6 000,00р. ; 6 000,00р. ;0%
Горелка MIG-15 4м; 3 000,00р. ; 3 000,00р. ;0%
Горелка TORCH 15АК 5м евро; 3 300,00р. ; 3 300,00р. ;0%
Сварочная горелка MIG REAL MS-15 2,7м СВАРОГ; 3 200,00р. ; 3 200,00р. ;0%
Горелка TORCH 36 KD 4м; 6 300,00р. ; 6 300,00р. ;0%
Горелка для полуавтомата MIG MВ-36KDH 3м; 5 900,00р. ; 5 900,00р. ;0%
Горелка WTM  24-HD 4м; 7 300,00р. ; 7 300,00р. ;0%
Сопла {3};;;
Сопло МВ15АК D 12мм; 170,00р. ; 170,00р. ;0%
Сопло медное MP15АК d=16mm, цилиндр; 170,00р. ; 170,00р. ;0%
Сопло медное MS24/240 ф 12,5мм; 150,00р. ; 150,00р. ;0%
Сопло МВ 25АК D 15мм (уп. 5 шт.); 150,00р. ; 150,00р. ;0%
Сопло медное MP501D/401D/26KD d=16mm, конич.; 300,00р. ; 300,00р. ;0%
Сопло МВ 36KD D 16 мм (уп.5 шт.); 380,00р. ; 380,00р. ;0%
Каналы {3};;;
Канал стальной 0,6-0,9мм, 3,4м (голубой); 250,00р. ; 250,00р. ;0%
Канал стальной 0,6-0,9мм, 4,4м (голубой); 280,00р. ; 280,00р. ;0%
Канал стальной 1,0-1,2мм, 3,4м (красный); 350,00р. ; 350,00р. ;0%
Канал стальной 1,0-1,2мм, 4,4м (красный); 370,00р. ; 370,00р. ;0%
Канал стальной 1,0-1,2мм, 5,4м (красный); 390,00р. ; 390,00р. ;0%
Канал стальной 1,2-1,6мм, 5,4м (желтый); 430,00р. ; 430,00р. ;0%
Держатель наконечника {3};;;
Держатель сопла (MS 15) (СВАРОГ); 100,00р. ; 100,00р. ;0%
Держатель сопла MB15AK с пружиной ДОКА; 100,00р. ; 100,00р. ;0%
Держатель наконечника М6 26мм; 80,00р. ; 80,00р. ;0%
держатель наконечника МР36KD,М6*28; 50,00р. ; 50,00р. ;0%
держатель наконечника МР36KD,М8*28; 60,00р. ; 60,00р. ;0%
Наконечники к горелкам {3};;;
 Наконечник E-Cu M6x25x0,8 ; 40,00р. ; 40,00р. ;0%
Наконечник E-Cu M6x25x1.0; 40,00р. ; 40,00р. ;0%
Наконечник E-Cu M6x25x1.2; 40,00р. ; 40,00р. ;0%
Наконечник E-Cu M6x28x0,8; 40,00р. ; 40,00р. ;0%
Наконечник E-Cu M6x28x1.0; 55,00р. ; 55,00р. ;0%
Наконечник E-Cu M6x28x1.2; 55,00р. ; 55,00р. ;0%
Наконечник E-Cu M8x30x0.8; 70,00р. ; 70,00р. ;0%
Наконечник E-Cu M8x30x1,0; 70,00р. ; 70,00р. ;0%
Наконечник E-Cu M8x30x1,2; 70,00р. ; 70,00р. ;0%
Наконечник E-CU М8х30х1,6 (СВАРОГ); 70,00р. ; 70,00р. ;0%
Гусаки {3};;;
Гусак горелки MIG-15; 350,00р. ; 350,00р. ;0%
Плазма {2};;;
Резаки {3};;;
Плазменный резак МР-31 (5m, 3/8G, 2pin); 3 400,00р. ; 3 400,00р. ;0%
Плазменный резак MP-80 (5m, центральный адаптер); 6 500,00р. ; 6 500,00р. ;0%
Сопла {3};;;
Сопло d 1.0 CP PT-31; 80,00р. ; 80,00р. ;0%
Сопло d 1.0 CP PT-31 удлиненное; 120,00р. ; 120,00р. ;0%
Сопло d 1.0 на  PT-60; 300,00р. ; 300,00р. ;0%
Сопло 1,1 Р-80; 80,00р. ; 80,00р. ;0%
Сопло 1,3 Р-80; 140,00р. ; 140,00р. ;0%
Сопло 1,5 Р-80; 80,00р. ; 80,00р. ;0%
Сопло - 85А; 370,00р. ; 370,00р. ;0%
Диффузоры {3};;;
Диффузор СР РТ-31; 20,00р. ; 20,00р. ;0%
Диффузор газовый 24; 40,00р. ; 40,00р. ;0%
Диффузор газовый 36; 40,00р. ; 40,00р. ;0%
Диффузор MIG-501 керам.; 40,00р. ; 40,00р. ;0%
Катоды {4};;;
Катод А 101-141 PR0101; 120,00р. ; 120,00р. ;0%
Катод СР РТ-31; 55,00р. ; 55,00р. ;0%
Катод РТ-31 удл.; 120,00р. ; 120,00р. ;0%
Катод Р-60; 60,00р. ; 60,00р. ;0%
Катод Р-80; 80,00р. ; 80,00р. ;0%
Электрод {4};;;
Электрод (Electrode) 25A; 400,00р. ; 400,00р. ;0%
Электрод (Electrode), 45-105A; 350,00р. ; 350,00р. ;0%
Электрод (Electrode), 45-125A; 400,00р. ; 400,00р. ;0%
Насадки {4};;;
Насадка защитная СР РТ-31; 120,00р. ; 120,00р. ;0%
Насадка защитная Р-80 керамическая; 140,00р. ; 140,00р. ;0%
 Экраны {4};;;
 Защитный экран (Shield), 105-125A ; 1 050,00р. ; 1 050,00р. ;0%
 Экран - 45А-85А ; 400,00р. ; 400,00р. ;0%
 Экран - 105А ; 400,00р. ; 400,00р. ;0%
ЭЛЕКТРОДЫ {1};;;
Сварочные электроды {2};;;
Магнитогорские МЭЗ {3};;;
 Электроды МР-3 4,0мм (6,5кг) МЭЗ ; 1 536,00р. ; 1 536,00р. ;0%
 Электроды УОНИ 13/55 3мм (4,5кг) МЭЗ ; 1 020,00р. ; 1 020,00р. ;0%
 Электроды ЦЧ-4 3,0мм (1кг) МЭЗ ; 1 500,00р. ; 1 500,00р. ;0%
ЭСАВ {3};;;
 Электроды МР-3 3,0мм (5кг) ESAB ; 2 400,00р. ; 2 400,00р. ;0%
 Электроды МТГ 01К 2,5мм (4,5кг) ESAB ; 2 450,00р. ; 2 450,00р. ;0%
 Электроды МТГ-01К 3,0мм (4,5кг) ESAB ; 2 300,00р. ; 2 300,00р. ;0%
 Электроды МТГ-02 4,0мм (6кг) ESAB ; 2 800,00р. ; 2 800,00р. ;0%
 Электроды ОЗС-12 2,0мм (4кг) ESAB ; 2 300,00р. ; 2 300,00р. ;0%
 Электроды ОЗС-12 5,0мм (6,5кг) ESAB ; 2 110,00р. ; 2 110,00р. ;0%
 Электроды ОК 46.00 2,5мм (5,3кг) ESAB ; 2 450,00р. ; 2 450,00р. ;0%
 Электроды ОК 46.00 3,0мм (5,3кг)  ESAB ; 2 790,00р. ; 2 790,00р. ;0%
 Электроды ОК 46.00 4,0мм (6,6кг) ESAB ; 3 350,00р. ; 3 350,00р. ;0%
 Электроды ОК 53.70 3,2мм (1,8кг) ESAB ; 1 200,00р. ; 1 200,00р. ;0%
 Электроды ОК 53.70 3,2мм (4,7кг) ESAB ; 3 250,00р. ; 3 250,00р. ;0%
 Электроды ОК 53.70 4,0мм (3,8кг) ESAB ; 2 400,00р. ; 2 400,00р. ;0%
 Электроды ОК 53.70 4,0мм (6,0кг) ESAB ; 3 700,00р. ; 3 700,00р. ;0%
 Электроды ОК 61.30 2,0мм (0,6кг) ESAB ; 3 900,00р. ; 3 900,00р. ;0%
 Электроды ОК 61.30 2,0мм (1,6кг) ESAB ; 5 660,00р. ; 5 660,00р. ;0%
 Электроды ОК 61.63 2,5мм (2кг) ESAB ; 4 050,00р. ; 4 050,00р. ;0%
 Электроды ОК 74.70 4мм (6кг) ESAB ; 3 100,00р. ; 3 100,00р. ;0%
 Электроды УОНИИ-13/55 2,5мм (4,5кг) ESAB СВЭЛ ; 1 530,00р. ; 1 530,00р. ;0%
 Электроды УОНИ 13/55 3,0мм (4,5кг) ESAB СВЭЛ ; 1 350,00р. ; 1 350,00р. ;0%
 Электроды УОНИИ-13/55 4,0мм (6кг) ESAB СВЭЛ ; 1 650,00р. ; 1 650,00р. ;0%
Электроды LB-KOBELCO {3};;;
 Электроды LB-52U 2,6мм (5кг) KOBELCO ; 4 300,00р. ; 4 300,00р. ;0%
 Электроды LB-52U 3,2мм (5кг) KOBELCO ; 4 250,00р. ; 4 250,00р. ;0%
 Электроды LB-52U 4,0мм (5кг) KOBELCO ; 4 200,00р. ; 4 200,00р. ;0%
Тольятти {3};;;
Электроды АНО-21 3,0мм (1кг) ТОЛЬЯТТИ; 400,00р. ; 400,00р. ;0%
Электроды МР-3 3,0мм (1кг) атлант ТОЛЬЯТТИ; 320,00р. ; 320,00р. ;0%
 Электроды ОЗЛ-8 2,5мм (1кг) ТОЛЬЯТТИ ; 1 400,00р. ; 1 400,00р. ;0%
 Электроды Т-590 4,0мм (5кг) ТОЛЬЯТТИ ; 1 550,00р. ; 1 550,00р. ;0%
 Электроды Т-590 5,0мм (5кг) ТОЛЬЯТТИ ; 1 600,00р. ; 1 600,00р. ;0%
 Электроды ЦЧ-4 3,0мм (1кг) ТОЛЬЯТТИ ; 1 500,00р. ; 1 500,00р. ;0%
 Электроды ЦЧ-4 4,0мм (1кг) ТОЛЬЯТТИ ; 1 550,00р. ; 1 550,00р. ;0%
 Электроды Э-50А ТМУ-21У 4,0мм (5кг) ТОЛЬЯТТИ ; 1 380,00р. ; 1 380,00р. ;0%
 Электроды Э-50А УОНИ-13/55 3,0мм (5кг) ТОЛЬЯТТИ ; 725,00р. ; 725,00р. ;0%
 Электроды Э-50А УОНИ-13/55 4,0мм (5кг) ТОЛЬЯТТИ ; 930,00р. ; 930,00р. ;0%
Пенза {3};;;
Электроды МР-3 3,0мм (5кг) ФЛАГМАН;1300,00р.;1300р.;0%
Электроды МР-3 4,0мм (5кг) ФЛАГМАН;1250,00р.;1250р.;0%
Электроды ПЭLB-52U 2,6мм (1,4кг) ФЛАГМАН;620,00р.;620р.;0%
Электроды ПЭLB-52U 3,2мм (1,3кг) ФЛАГМАН;570,00р.;570р.;0%
Электроды ПЭLB-52U 4,0мм (1,8кг) ФЛАГМАН;780,00р.;780р.;0%
Хобэкс {3};;;
 Электроды УОНИ-13/55 3,0мм (5кг) ХОБЭКС ; 1 200,00р. ; 1 200,00р. ;0%
 Электроды УОНИ-13/55 4,0мм (5кг) ХОБЭКС ; 1 110,00р. ; 1 110,00р. ;0%
 Электроды УОНИ-13/55 5,0мм (5кг) ХОБЭКС ; 1 150,00р. ; 1 150,00р. ;0%
 Электроды УОНИИ-13/45 3,0мм (5кг) ХОБЭКС ; 1 050,00р. ; 1 050,00р. ;0%
 Электроды МР-3 4,0мм (5кг) ХОБЭКС ; 1 200,00р. ; 1 200,00р. ;0%
 Электроды МР-3 3,0мм (5кг) ХОБЭКС ; 1 250,00р. ; 1 250,00р. ;0%
 Электроды ОЗЛ-8 2,5мм (5кг) ХОБЭКС ; 7 000,00р. ; 7 000,00р. ;0%
 Электроды ОЗЛ-8 3,0мм (5кг) ХОБЭКС ; 4 750,00р. ; 4 750,00р. ;0%
 Электроды ОЗЛ-6 2,5мм (5кг) ХОБЭКС ; 9 000,00р. ; 9 000,00р. ;0%
